#APID int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p50 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p50 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p50 cmd_Av_p84 N_stars              
              1   8.97095756107   8.92155181417   9.01931503491   4.13072406149   4.08040376153   4.18100402288 0.0807066838364             0.0  0.172282364026             8.8             8.8             8.8             8.8   4.02381898004   4.02375858848   4.04697309847   4.05098948204             0.0             0.0            0.05             0.1           436.0
           1001   8.73419815861   8.52261404275   8.93490245389   3.42997035834   3.33755046847   3.52333768324  0.489365304712  0.214521201343  0.780816235612             8.4             8.3             8.4             8.4    3.7658137346    3.6607555383   3.70988131677   3.76580032125            1.35            1.25            1.35            1.45           164.0
           1002   7.66778234417   7.55745308708   7.78754943872   3.07622213918   3.01037197306   3.13903838052  0.274602713543  0.145468975171  0.392524282682             7.5             7.3             7.4             7.5   3.13405864845   3.09799051182   3.11850722331   3.13404591221            0.45             0.4            0.45            0.45           120.0
           1003   8.14355285032   7.96917727199   8.33552094237   3.22561348103   3.05521469632   3.38808745286  0.525446614031  0.159903864922  0.883029399145             7.7             7.5             7.7             7.9   3.18733134811   3.16681173838   3.19024998803   3.22235929296            0.75             0.7             0.8            0.85           245.0
           1005   9.00854980702   8.54224131609   9.50783704567   3.68167255573   3.52819082792    3.8387889316  0.719570626486  0.204960467156   1.20666605883             9.1             9.1             9.1             9.1   3.85299263373   3.82147687026   3.89664075042   3.96715865285            0.25             0.2             0.3             0.4           261.0
           1006   7.64942010734   7.51026108879   7.79870409418   3.74303659957   3.66944199427   3.82011687644  0.812544142222   0.63273572885  0.997296066601             7.5             7.1             7.5             7.5    3.4641955725   3.44052712899   3.44856979675   3.46444071644             1.2             1.2            1.25            1.35           186.0
           1007   8.39705920218   8.21871432058   8.59307741581   3.20087613956   3.02664662975   3.41025611951  0.738800436811  0.338997510087   1.14625987792             8.3             8.2             8.3             8.6   3.55035884525   3.50379840398   3.55791265907   3.61164647803             1.6             1.1             1.6             1.8           330.0
            101   8.48817745643   8.45130075763   8.53252324423   3.64296797311     3.599548973    3.6905032269 0.0478046317042             0.0  0.155906439877             8.0             7.5             8.0             8.0   3.89285105677   3.81872808472   3.87262479689   3.89287337959             1.0             1.0             1.0            1.15           310.0
           1012   9.25463042983    8.5117724169   10.1324798059   3.97574223449   3.81425071991   4.15461843494   1.30033086635  0.373492363281   2.21029817723             8.2             8.2             8.2             8.2   3.79397862295    3.7623814474   3.79334021333   3.83027536185            2.15             2.1            2.15             2.2           115.0
           1014   8.84265946847   8.72731655081   8.98068475144   3.61790199759    3.5233821043   3.70953638089  0.631313995717  0.402434488067  0.848503812513             8.0             7.3             7.7             8.8   3.31581782153   2.85545741428   3.19609823516   3.51899436302             2.2            0.95            2.45            2.85           171.0
           1015   10.2215817527   10.1635409876           10.25   3.82309358469   3.75334619392   3.89031564767 0.0548793495272             0.0   0.15746578092             9.1             9.0             9.1             9.1   3.53819109731   3.48728916895   3.53818036365   3.56464934431            0.25            0.25            0.35             0.5            66.0
           1017   8.18172875343   7.76614963967   8.29661067016   2.56606295492   2.10050886623   2.63379202525  0.201493928027 0.0877387615492  0.316563865443             7.8             7.7             7.8             7.9   3.52243427952   3.45713742647   3.51879076607   3.56255929249            2.35             2.3            2.35            2.45           121.0
           1018   9.41703303597   8.91891926775   9.81960442439   3.70653880104   3.52179221213   3.86995789001  0.423763654641  0.057445105928   0.78921724659             9.0             9.0             9.0             9.1   3.47272302798   3.40000229959   3.47212964404   3.51080361524             0.2            0.05            0.15            0.25           112.0
            102   6.48876186407   6.41899345907    6.5479380868   3.93399813937   3.79076514037   4.10008036599   1.03158088879  0.945917114959   1.10229719609             7.7             7.7             7.7             7.8   4.11791125111   4.11744019328   4.11795424444   4.13829772828            1.05            1.05            1.05            1.05          1550.0
           1020   9.24800636182   8.89847156174   9.73309669748   3.86205087296   3.72870309554   4.00747102914  0.676605689487  0.169482019373   1.04855968581             9.1             9.1             9.1            10.0   4.09968048941   4.03237748166   4.10551450201   4.80251057744             0.8             0.3            0.65             0.8           159.0
           1023   8.76508462686   8.69811863555   8.83678578596   3.05198703401   2.97712431316   3.12638815853  0.183404789757 0.0356083752035  0.330565392735             8.4             8.3             8.4             8.5   3.36324782155   3.32476505552   3.36461109916   3.40090852978            0.95             0.8            0.95            1.15           119.0
           1024   9.21764938029   9.09613515357   9.33986128006   3.68262429536   3.58690880531   3.78054205659  0.130884012582 0.00126660780103  0.273094728809             9.0             9.0             9.0             9.1   3.79035743608   3.74751865586   3.79732282254   3.90561591254            0.15             0.1             0.2             0.3           217.0
           1026   7.27240660909   7.09342558271   7.44612929709   3.43200422542   3.31490661397   3.52858471071  0.957038843676  0.850876586128   1.06347404678             7.5             7.5             7.5             7.6   3.04164060483   3.01707357814   3.04634354995   3.06210540004            0.85            0.75            0.85            0.95           187.0
           1027   9.10183353185    9.0617850029    9.1380688102   3.68516230546   3.63399914777   3.73519301029 0.00223447743344             0.0 0.0704944774334             7.9             7.8             7.9             7.9   3.60802150575   3.56811185847   3.59755307032   3.62095304975            1.45            1.35            1.45             1.5           168.0
           1028   8.73388559368   8.41774068995   9.01500235579   3.49592433564   3.40292621565   3.59951255016  0.604224247755  0.222708066654   1.02255062117             8.8             8.6             8.7             8.8   3.84345831491   3.73477659459   3.77820882968   3.83481481765            0.55            0.45            0.75             1.1           191.0
            103   8.30931345746   8.19829218363   8.42050382709   3.19737340569   3.10042768651   3.31060497429  0.269515642933 0.0270311257498  0.532612110202             8.2             8.1             8.2             8.3   3.41741314788   3.34131509234   3.38787191373   3.43876901487            0.65             0.5            0.65            0.75           208.0
           1030   8.02859377395    7.8484684203   8.20026761979   3.24208054645   3.07758025413   3.41628728193   1.28051003422  0.918292562182   1.63863291356             8.8             8.8             8.8             8.9   3.26920209173   3.23499722351   3.30092626199   3.35487571798            0.25 0.0646852108688             0.2            0.35           139.0
           1031   8.94881552838   8.81510518164   9.12035856712   2.88872009038   2.75045225447   3.02545798535  0.112256166541             0.0  0.221574875077             8.0             7.4             7.8             8.1   2.96146667261    2.8939014229   2.94025442538   3.00811712306            1.55            1.55   1.68280959775             1.8            71.0
           1032   8.43156686832   8.33906852952   8.52808353431   3.12381552942   3.03433447361   3.22435993771  0.178459095045 0.00194110782928  0.367059867115             8.1             8.1             8.1             8.1   3.09665953475   3.02221099357    3.0708405442   3.09749973609             0.6             0.5            0.55             0.6           214.0
           1033   8.89587145821   8.81562275469   8.97561744002   3.23298138192   3.15162788525    3.3075625212  0.183157202447 0.0419440278162  0.323083582222             8.8             8.7             8.8             8.8   3.46080456743   3.43338148423   3.46097405074   3.49078633795            0.05            0.05             0.1            0.35           122.0
           1034   8.51704333168   8.43325414503   8.60094983138   3.49189808956   3.40823052071   3.57720741182  0.489192425992  0.308249657154  0.669550339016             8.7             8.5             8.7             8.7   3.48624943371   3.47453483209   3.50498701925   3.55526891489            0.15             0.1            0.25            0.65           209.0
           1035   7.62882198123   7.53551999573   7.78697360349   4.43877117661   4.40489110963   4.55317488667   2.83019562452   2.71244496327             2.9            10.1             9.5             9.7            10.1   5.37190579939   4.61250035575   4.77345328437    5.3603045643             0.0             0.0             0.0            0.05           221.0
           1036   7.94789012437    7.8427797443   8.09779812815   3.18042442203    3.0513094218   3.32256439625  0.731508512313  0.444064165136  0.950214924066             7.9             7.6             7.9             7.9   3.07920162616   3.00260123149   3.05848263494    3.0796147486             0.9            0.85             0.9             1.0           115.0
           1037   8.25443569352   8.17220234571   8.33403070762   2.94389922069   2.86042386819   3.03002415199  0.132977312409 0.00974351885632  0.264890888155             8.1             7.8             8.1             8.2   3.14897927845   3.07813780452    3.1299678446   3.14909694929            0.65            0.55            0.65             0.7           171.0
           1038   9.10321636309   8.51827286845    9.9855030309   3.78528434045   3.62355189198   3.99801546994   1.15017776854  0.297807535908   1.78317680242             9.0             8.8             9.0             9.0   3.47043832371   3.25675029244    3.4210111537   3.52044667653            0.35            0.35             0.5             0.9           124.0
            104   8.57701142596   8.44325244658   8.71022989151   3.44518265388   3.36020101799   3.53721169223  0.302563958167 0.0457019503114  0.560310865731             8.9             8.9             8.9             8.9   3.95796766739   3.92569107183   3.95682451702   3.95872674691            0.25             0.2            0.25            0.25           250.0
           1041   6.57366689046   6.42977746556   6.72267198248   2.82965001438   2.28038573174   3.33094022416   1.10299473758  0.968998864361   1.23194801811             7.2             7.1             7.2             7.3    3.6517899435    3.6239937485   3.64695284869   3.65928785812             1.6            1.55             1.6            1.65           281.0
           1043   6.66005054519   6.21319613304   6.98483834251   2.98190983875    2.8980828587   3.07812292332   1.27751995656   1.15223716446    1.3916658523             8.0             7.8             8.0             8.3   2.92494565552   2.89461125859   2.92229362069   2.95086310537             0.4             0.2            0.35            0.45            82.0
           1044   8.96254123754   8.90183271701   9.02964980505     3.400140418   3.33271062838   3.46846393993 0.00186974080227             0.0 0.0701297408023             8.3             8.0             8.3             8.4   3.10405057398   3.07532442294   3.11490188728   3.14443179747            0.35             0.3            0.45             0.6           165.0
           1045   8.90359155369   8.80348922003   9.00234440424   3.11604218764     3.019053317   3.21766240807  0.195212940028 0.0336495996494  0.360016318131             8.2             7.9             8.2             8.3   3.55069461526   3.43867261417   3.54588442105   3.59482126728             1.5            1.45             1.5             1.6           154.0
           1047     9.214118698   8.34256346345   9.62739801763   4.32257399425   4.21717766805   4.43004742491  0.639178410193  0.143644757932   1.54183316998             9.3             9.2             9.3             9.4   4.61478426886    4.5344023231   4.61759224449   4.63498751803            0.25            0.25            0.35            0.45           595.0
           1048   8.29111016044   8.11253045434    8.4413458351    2.5576109945   2.40119928391   2.73498444112  0.168086774252 0.00486786913204  0.347580570423             8.5             8.5             8.6             8.8   3.40131265978   3.36013673867   3.41252077991   3.51356183678             1.1             0.6             0.9            1.15           140.0
           1049   8.46227987726   8.38296829364   8.54436941489   3.21787379881   3.12601882761   3.30435858324  0.138359322068             0.0  0.304428059813             8.3             8.3             8.3             8.3   3.31965392261   3.29749556719   3.33950358061   3.37302139116            0.55             0.5             0.6             0.7           168.0
           1051   8.56248773184   8.42095199641   8.69709333272   2.98672621589   2.87490076288    3.0915594513  0.312645485546 0.0524307478228   0.56934128293             8.4             8.4             8.4             8.5   3.06890669521    3.0420769767   3.06281427965   3.07585127834             0.6            0.45            0.55            0.65           136.0
           1053   8.38470971919   8.25134808363    8.5214753004   2.88610733626   2.74624456232   3.02915062173  0.372288272374   0.09463898071  0.652233423647             8.5             8.4             8.5             8.5   3.25506389463   3.20160054739   3.23472734806   3.27332489782             0.5            0.45             0.5             0.6           122.0
           1054   9.09293401297   8.90108299291   9.32625590055   3.53549576927   3.42652470648   3.65074540814  0.339468766097 0.0694080659364  0.584809789952             9.0             8.9             9.0             9.0   3.76283157605   3.72988972636   3.76314283707   3.81894714921            0.15            0.15             0.2            0.45           137.0
           1055   6.86987697638   6.79401527121   6.97028524421   3.14273766058   2.98729261674   3.38204777455   1.30147934453   1.22588209625   1.37569496632             7.7             6.8             7.5             7.7   3.22664224617   3.07544178337    3.1834467013   3.21666878843            1.45             1.4             1.5            1.55           149.0
           1058    8.0656258203   7.82999921078   8.31332769984   3.08592705345   2.89844377859   3.31135602162  0.893130763517  0.365418448163   1.43378489656             8.5             8.4             8.5             8.6   3.20027342342   3.07560388664   3.14453665512   3.19700648534             0.8            0.65             0.8             0.9           153.0
           1059   7.58209230607    6.6486402168   8.55187162429    2.9508425691   2.54362030745   3.32589883393  0.995873228343  0.263787674707    1.7572337878             8.6             8.5             8.6             8.6   3.20465702291   3.16553356449   3.19578594355   3.22522188477             0.4             0.4             0.5             0.6           145.0
            106   8.80181939908   8.72895602449   8.88098086103   3.39188948465   3.31429130997   3.47959140808  0.243359481036 0.0897082378026  0.402543328588             9.0             9.0             9.0             9.0   3.63157446535   3.63153841101   3.63158863834   3.63168741105             0.0             0.0             0.0             0.0           140.0
           1061   8.99595587532   8.86671017241   9.12711193077   3.75881396502    3.6761098129   3.84128368074    0.3740377055  0.152031162619  0.595029421521             9.1             7.8             9.1             9.1   3.79976827876   3.79979495995   3.87510135959   3.96351180886             0.0             0.0            0.05            2.45           245.0
           1062   8.45143089211   8.32473957454   8.60416648622   3.39905541461   3.26714924078   3.52821747432   1.12778840961  0.793117568586   1.41757820379             9.0             9.0             9.0             9.0    3.6098937933   3.56420648171   3.59757574398   3.63789642657            0.15             0.1             0.2             0.3           188.0
           1064   8.63888031663   8.43867813259   8.83850507759   3.33503311453   3.22547975998    3.4476879144  0.285459549625 0.0223668146084  0.587255836212             8.4             7.8             8.3             8.4   3.25972373066   3.17207028346   3.23724456399   3.28835097356            0.55            0.55             0.7             0.9           302.0
           1065    8.4929709982   8.28540148341   8.67262371255   3.22514149178   3.08912246932   3.36430581643  0.362955259642 0.0248961007922  0.795008828639             9.0             9.0             9.0             9.0   3.83017199173   3.83018832018   3.87096703354   3.91289052597             0.0             0.0             0.1            0.15           258.0
           1067   8.23732711977    8.0567065359   8.43475987557   3.27081914237   3.14520377384   3.43180551451  0.537316850043  0.107546752133   0.91266967324             8.2             8.1             8.2             8.2   3.18601873647   3.15367241998   3.17728500269   3.19969640852            0.55             0.5            0.55            0.65           149.0
           1068   7.01912410208   6.77824622333   7.25959086897   4.25270684737   3.78138440295   4.53159702065   1.82327982466   1.71062980215   1.94265120693             6.6             6.6             6.6             6.7   3.52212759107   3.41072477637    3.4596150203   3.52442047059             2.2            1.85            2.05             2.2           166.0
            107   9.10747489464   9.02016953508   9.19444343057   3.94748503391   3.85530905463   4.04914183746  0.124582662631 0.00950882821152  0.246860433851             9.1             9.1             9.1             9.1   4.12182560746   4.09183185866   4.12196548967   4.16822648942            0.05            0.05             0.1            0.15           419.0
           1070   8.61239996245   8.46259131897   8.76433088106   2.55774471789   2.39891490152   2.72197802298  0.505450755108  0.181129211524  0.839845518298             8.8             8.3             8.8             8.8   3.02030106102   2.83897528035   3.02010602415   3.04359490169            0.35            0.35            0.45            1.15            45.0
           1072   7.27640789028   6.52127435076   8.05459048752   2.85048471885    2.5390800108   3.12203895216  0.581697549979  0.119957437729   1.05368383073             8.3             8.2             8.3             8.4   3.50649515673   3.43745667718   3.49272199478   3.51692272327             1.2             1.1             1.2            1.25           233.0
           1078   7.53475334584     7.283955458   7.79879966178   3.09540298688   3.00713796809   3.18483954825  0.898191869341  0.617550281608   1.18528037687             7.7             7.1             7.5             7.7   2.87695938801    2.8305881731   2.85687711809   2.87546950215             0.5             0.5            0.55            0.65           119.0
            108   8.27085905286   7.24205020652   8.64173831333   3.79967299593   3.11851650793   4.06100266494  0.193260118241             0.0  0.411658010757             8.2             8.2             8.2             8.2   4.12372822191    4.1236537371   4.12591561855   4.15073340464            0.85            0.85            0.85             0.9           743.0
           1080   8.96480834091   8.75206700602   9.18430433163   3.66476687636   3.57329371007    3.7527204713  0.448421428506  0.121338480566  0.771613238544             9.1             9.1             9.1             9.1    3.8335905518   3.79080946936   3.83386496745   3.87218503254            0.15            0.15            0.15            0.25           239.0
