#clust	default	category
1	i	B
2	m	B
3	i	B
4	i	B
5	m	B	
6	m	B
7	m	B
9	i	B
11	i	B
12	i	B
13	i	B
14	m	B
15	m	B
16	m	B
17	i	MAO
18	m	B
19	i	NS
23	m	B
24	m	B
25	m	B
26	i	B
27	m	B
28	m	B
29	i	NS
30	m	MAY
31	m	B
32	m	B
33	m	B
34	i	B
35	i	B
36	m	B
44	m	B
45	m	B
46	m	NS	
47	m	MAY
48	m	B
49	mo	MAO
50	m	B
52	m	B
53	m	MAY
55	i	B
56	m	B
58	i	NS
59	m	B
60	m	B
61	m	B
63	m	B
64	i	B
65	i	B
66	m	B
68	i	IAO
69	m	N
70	i	B
71	i	B
72	m	MAY
74	m	MAY
77	i	B
80	i	B
81	m	B
83	i	B
84	m	B
85	m	B
86	m	B
87	i	NS
88	m	B
89	i	d
90	m	d
91	m	d
93	m	d
94	m	d
95	m	d
96	m	d
97	i	d
98	m	d
99	mo	d	
100	i	d
101	m	d
102	m	f
103	m	d
104	i	d
106	i	d
107	i	d
108	m	d
111	m	d
112	i	f
114	i	d
115	i	d
119	m	d
120	i	o
121	m	d
122	m	d
123	m	d
124	i	d
125	i	f
126	i	d
127	m	d
128	m	d
129	m	d
131	m	d
132	i	d
133	i	d
134	m	d
135	i	f
136	m	d
137	m	d
138	m	d
139	m	f
141	m	d	
142	m	d
143	i	d
144	m	d
145	m	d
146	i	d
147	m	f
149	m	d
152	m	d
153	i	o
155	m	d
156	i	f
157	m	f
158	m	d
159	i	d
161	i	d
162	i	d
163	m	d
164	m	d
165	m	d
166	mo	f
167	i	d
168	m	d
169	m	d
170	i	f
172	m	d
173	m	d
174	mo	d
175	m	d
179	i	d
180	m	d
182	i	d
184	i	f
185	m	d
186	m	d
187	m	d
188	m	d
190	i	o
191	m	d
192	m	f
193	m	d
194	m	d
195	m	f
196	m	d
197	m	d
199	i	f
200	i	d
201	i	f
202	m	d
203	i	d
204	m	d
205	m	d
207	m	d
208	m	d
209	m	d
210	m	d
211	i	d
212	mo	f
213	m	d
214	m	f	
215	m	d
216	i	d
217	m	d
218	m	d
219	m	d
220	m	f
221	i	d
222	m	d
223	i	d
226	i	d
227	i	o
228	m	d
229	i	f
230	i	d
231	i	f
232	m	d
233	i	f
234	m	d
235	i	d
238	m	d
239	i	d
242	i	d
243	i	d
244	m	d
245	i	f
246	m	d
249	m	d
250	i	d
251	i	d
252	i	d
253	m	f
254	m	d
255	m	d
256	i	d
257	m	d
258	i	d
260	i	o
261	i	f
263	i	d
266	m	d
267	i	f
269	i	d
271	m	d
272	m	d
274	m	f
275	i	d
276	m	d
