#APID R_ap N_stars N_bg Flag Best_method int_logAge_E int_logAge_p16 int_logAge_p84 int_logMass_E int_logMass_p16 int_logMass_p84 int_Av_E int_Av_p16 int_Av_p84 cmd_logAge_best cmd_logAge_p16 cmd_logAge_p84 cmd_logMass_best cmd_logMass_p16 cmd_logMass_p84 cmd_Av_best cmd_Av_p16 cmd_Av_p84 C11_Age_Gyr C11_logMass C11_E(B-V) C11_Z C11_SigmaZ 
              1            2.19           408.0           228.0               B               I   8.97095756107   8.92155181417   9.01931503491   4.13072406149   4.08040376153   4.18100402288 0.0807066838364             0.0  0.172282364026             8.8             8.8             8.8   4.03597947808   4.00356980352   4.06121872511            0.05             0.0            0.15             0.0             0.0             0.0             0.0             0.0
              2            1.86           255.0           169.0               B               M   8.73387022275   8.65967710214   8.83883397745   3.52219702148   3.44755258678   3.58761650005  0.149664568057             0.0  0.269829845127             8.4             8.4             8.4   3.97887613687    3.9510936378   3.97905873476            1.15             1.1            1.15             0.0             0.0             0.0             0.0             0.0
              3            1.95           197.0           113.0               B               I   8.56857578984   8.48198310183   8.65259403282   3.09020489512   3.01605811734   3.16714880322  0.106188874721             0.0  0.237790100651             8.8             8.7             8.8   3.48406422833   3.48404055623   3.53275222991             0.0             0.0             0.3             0.0             0.0             0.0             0.0             0.0
              4            2.87           530.0           280.0               B               I   8.97468018476   8.92431678718   9.02491226775   4.12568461893   4.07852488526   4.17293998298 0.0496608102131             0.0  0.142705238656             8.8             8.8             8.8   4.14288167825   4.11129456981   4.14330822141             0.0             0.0             0.0             0.0             0.0             0.0             0.0             0.0
              5            1.46           208.0           166.0               B               M   8.67336162551   8.62172779119   8.72619003806   3.36723279248   3.31026332636   3.43120384986 0.0743675590919             0.0  0.168549328213             8.4             8.3             8.4   3.41125217244   3.39851959646   3.44788448092            0.45   0.44085047463            0.65             0.0             0.0             0.0             0.0             0.0
              6            2.23           351.0           214.0               B               M   8.38803031175   8.27050840569   8.50337169136   3.63374397476   3.53388280636   3.74030611904   0.26287350726 0.0121532015522  0.529446814157             8.5             8.4             8.5   3.82686591828   3.80549634211   3.83066362864             0.5             0.5            0.65             0.0             0.0             0.0             0.0             0.0
              7            1.86           124.0            54.0               B               M   8.19690970349    8.0771694645   8.32254737477   3.20682719496   3.07805187589   3.34033947805  0.454860078165  0.159414559004  0.749236396314             8.2             7.9             8.2   3.15862663552   3.11710602059   3.16021774742            0.45             0.4            0.55             0.0             0.0             0.0             0.0             0.0
              9            2.87           724.0           426.0               B               I   8.85456443695   8.79218627394   8.92079427403   4.16828633017   4.11602730963   4.22142280891   0.12211789883 0.0166607307455   0.22875022504             8.7   8.63779940834             8.7   4.26424653483    4.2638923587   4.26444569618            0.25            0.25            0.25             0.0             0.0             0.0             0.0             0.0
             11            1.77           137.0            42.0               B               I   8.83894019047   8.55100451894    9.1117353598   3.41340358815   3.27873363321   3.57015822998  0.184385401599             0.0  0.392007856329             8.9             8.9             8.9   3.58019970782     3.579954246    3.6037809965             0.0             0.0 0.0538593760253             0.0             0.0             0.0             0.0             0.0
             12            2.26           343.0           182.0               B               I   9.07370257616   8.86892830646   9.42561055648   4.01752819054   3.92072796108   4.13436202478   0.50083816241   0.15516000093  0.744090487483             9.0             9.0             9.0   4.25339009633   4.20708820771   4.26140953375             0.4             0.3             0.4             0.0             0.0             0.0             0.0             0.0
             13            2.49           510.0           289.0               B               I   8.73956735903   8.67439572343   8.79786918802   4.06369503666   4.01183403137   4.11685426893 0.0942444316455             0.0  0.203249206937             8.7             8.7             8.7   4.06664744469   4.06661215594   4.09039471094             0.1             0.1            0.15             0.0             0.0             0.0             0.0             0.0
             14             2.5           509.0           225.0               B               M   8.08119469674   7.94212009475   8.26626532604   3.84574639512   3.76735432622   3.93482063554  0.685134355213  0.421703167796  0.947131730438             8.2             8.2             8.3   4.08294084555   4.08030223778   4.12949189471            1.25            1.15            1.25             0.0             0.0             0.0             0.0             0.0
             15            2.75           592.0           489.0               B               M   8.56203707105   8.51346171099   8.61089830808   3.71023222301   3.65835563767   3.76316726704 0.0338983949299             0.0  0.104933462772             8.5             8.5             8.5   3.87168219285   3.86785442409   3.88561973107             0.3            0.25            0.35             0.0             0.0             0.0             0.0             0.0
             16            2.06           311.0           204.0               B               M   8.07059464221   7.94145917281   8.21133959073   3.67672399799   3.57549822815   3.79200994432  0.947099598247  0.653442993302    1.2203800274             8.4             8.4             8.4   3.57056368398   3.54062579985   3.59843436243            0.75            0.75             0.8             0.0             0.0             0.0             0.0             0.0
             17            2.12           264.0           157.0             MAO               M            7.75         7.71587         7.78413             2.2         2.16587         2.23413             0.3         0.23174         0.36826             8.8             8.8             8.8    3.5684696729   3.56292041074   3.58738963977            0.05             0.0             0.1             0.0             0.0             0.0             0.0             0.0
             18            1.97           304.0           259.0               B               M   8.38746987334   8.16570169343    8.5758163164   3.44261091937   3.32703415628   3.57192892368  0.346647159537             0.0   0.79378861413             8.3             7.5             8.3   3.48843745013   3.40227117007   3.48962634567            0.45             0.5             0.8             0.0             0.0             0.0             0.0             0.0
             19             2.0           155.0            37.0            NSMB               M   7.90166594735   6.55790657094   9.06119210169   3.46832435036   3.08325133638   3.80216561474   1.39447383415  0.397260282205   2.29474752618             9.2             9.2             9.2   3.81967772744   3.81580026427   3.87527371104            0.15            0.15            0.25             0.0             0.0             0.0             0.0             0.0
             23             2.3           366.0           206.0               B               M   8.58440457859   8.52521535738   8.64048776479   3.63040559301   3.57253948023   3.68662995089 0.0358390758782             0.0  0.110484432503             8.4             8.4             8.4   3.84652192163   3.84600837507    3.8693615621            0.55             0.5             0.6             0.0             0.0             0.0             0.0             0.0
             24             1.6           183.0           158.0               B               M   7.72698962838   7.67177216181   7.78018571803   3.17346995169   3.11700519942   3.23548401579  0.353577517638  0.242094292174  0.468705825588             7.2             7.1             7.3   3.11913722244   3.10084316889   3.13024317776             0.7            0.65            0.75             0.0             0.0             0.0             0.0             0.0
             25            1.95           156.0            53.0               B               M   8.35773631069   8.14178323566   8.67511342474   3.46718284161   3.33267111548   3.59162691117  0.844605057791  0.160280100355   1.25220510756             8.5             8.5             8.6    3.4402667634   3.41843082695   3.46322410334             0.5            0.35            0.55             0.0             0.0             0.0             0.0             0.0
             26            2.02           297.0           167.0               B               I   8.55360762143   8.42095484969   8.68933962135   3.94735076973    3.8648527682   4.03233070699   1.35874385461   1.13109371801    1.5909928903             9.0             8.9             9.0   3.89948642801    3.8533154721   3.92659635056             0.0             0.0            0.15             0.0             0.0             0.0             0.0             0.0
             27            2.25           306.0           303.0               B               M   7.46080289104   7.35883853005   7.59153142475   3.80385748802   3.72533057186   3.88223675194  0.536436334342   0.36463731846   0.69336128001             7.4             6.7             7.4   3.17667544235   3.10690854497   3.17518907823            0.55             0.5             0.6             0.0             0.0             0.0             0.0             0.0
